"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"47","Aves sp","2022-03","03","2022",5,5,0,713,0.00701262272089762,0.217391304347826,0.00701262272089762,0.217391304347826,0,0
"48","Aves sp","2022-04","04","2022",4,4,0,712,0.00561797752808989,0.168539325842697,0.00561797752808989,0.168539325842697,0,0
"49","Aves sp","2022-05","05","2022",5,5,0,801,0.00624219725343321,0.193508114856429,0.00624219725343321,0.193508114856429,0,0
"50","Aves sp","2022-06","06","2022",1,1,0,731,0.00136798905608755,0.0410396716826265,0.00136798905608755,0.0410396716826265,0,0
"51","Aves sp","2022-07","07","2022",1,1,0,762,0.00131233595800525,0.0406824146981627,0.00131233595800525,0.0406824146981627,0,0
"52","Aves sp","2022-10","10","2022",1,1,0,598,0.00167224080267559,0.0518394648829431,0.00167224080267559,0.0518394648829431,0,0
"53","Aves sp.","2020-01","01","2020",6,6,0,615,0.00975609756097561,0.302439024390244,0.00975609756097561,0.302439024390244,0,0
"54","Aves sp.","2020-02","02","2020",1,1,0,678,0.00147492625368732,0.0427728613569322,0.00147492625368732,0.0427728613569322,0,0
"55","Aves sp.","2020-03","03","2020",15,16,0,758.5,0.01977587343441,0.613052076466711,0.021094264996704,0.653922214897825,0,0
"56","Aves sp.","2020-04","04","2020",35,39,0,784,0.0446428571428571,1.33928571428571,0.0497448979591837,1.49234693877551,0,0
"57","Aves sp.","2020-05","05","2020",6,6,0,779,0.00770218228498074,0.238767650834403,0.00770218228498074,0.238767650834403,0,0
"58","Aves sp.","2020-06","06","2020",19,21,0,700,0.0271428571428571,0.814285714285714,0.03,0.9,0,0
"59","Aves sp.","2020-07","07","2020",7,7,0,733,0.00954979536152797,0.296043656207367,0.00954979536152797,0.296043656207367,0,0
"60","Aves sp.","2020-08","08","2020",1,1,0,808,0.00123762376237624,0.0383663366336634,0.00123762376237624,0.0383663366336634,0,0
"61","Aves sp.","2020-09","09","2020",4,5,0,767,0.00521512385919166,0.15645371577575,0.00651890482398957,0.195567144719687,0,0
"62","Aves sp.","2020-10","10","2020",7,9,0,765,0.00915032679738562,0.283660130718954,0.0117647058823529,0.364705882352941,0,0
"63","Aves sp.","2021-01","01","2021",2,2,0,749,0.00267022696929239,0.0827770360480641,0.00267022696929239,0.0827770360480641,0,0
"64","Aves sp.","2021-02","02","2021",5,5,0,745,0.00671140939597315,0.187919463087248,0.00671140939597315,0.187919463087248,0,0
"65","Aves sp.","2021-03","03","2021",8,8,0,866,0.0092378752886836,0.286374133949192,0.0092378752886836,0.286374133949192,0,0
"66","Aves sp.","2021-04","04","2021",22,30,0,769,0.0286085825747724,0.858257477243173,0.0390117035110533,1.1703511053316,0,0
"67","Aves sp.","2021-05","05","2021",5,5,0,814,0.00614250614250614,0.19041769041769,0.00614250614250614,0.19041769041769,0,0
"68","Aves sp.","2021-06","06","2021",18,18,0,797,0.0225846925972397,0.677540777917189,0.0225846925972397,0.677540777917189,0,0
"69","Aves sp.","2021-07","07","2021",6,9,0,836,0.00717703349282297,0.222488038277512,0.0107655502392345,0.333732057416268,0,0
"70","Aves sp.","2021-08","08","2021",4,4,0,909,0.0044004400440044,0.136413641364136,0.0044004400440044,0.136413641364136,0,0
"71","Aves sp.","2021-09","09","2021",6,6,0,857,0.00700116686114352,0.210035005834306,0.00700116686114352,0.210035005834306,0,0
"72","Aves sp.","2021-10","10","2021",9,9,0,913,0.00985761226725082,0.305585980284775,0.00985761226725082,0.305585980284775,0,0
"73","Aves sp.","2021-11","11","2021",1,1,0,757,0.00132100396301189,0.0396301188903567,0.00132100396301189,0.0396301188903567,0,0
"74","Aves sp.","2021-12","12","2021",11,17,0,525,0.020952380952381,0.64952380952381,0.0323809523809524,1.00380952380952,0,0
"75","Aves sp.","2022-01","01","2022",1,1,0,563,0.00177619893428064,0.0550621669626998,0.00177619893428064,0.0550621669626998,0,0
"76","Aves sp.","2022-02","02","2022",7,13,0,559,0.0125223613595707,0.350626118067979,0.0232558139534884,0.651162790697674,0,0
"77","Aves sp.","2022-03","03","2022",20,23,0,713,0.0280504908835905,0.869565217391304,0.032258064516129,1,0,0
"78","Aves sp.","2022-04","04","2022",6,6,0,712,0.00842696629213483,0.252808988764045,0.00842696629213483,0.252808988764045,0,0
"79","Aves sp.","2022-05","05","2022",5,5,0,801,0.00624219725343321,0.193508114856429,0.00624219725343321,0.193508114856429,0,0
"80","Aves sp.","2022-06","06","2022",8,8,0,731,0.0109439124487004,0.328317373461012,0.0109439124487004,0.328317373461012,0,0
"81","Aves sp.","2022-07","07","2022",22,24,0,762,0.0288713910761155,0.89501312335958,0.031496062992126,0.976377952755906,0,0
"82","Aves sp.","2022-08","08","2022",9,11,0,859,0.010477299185099,0.324796274738068,0.0128055878928987,0.39697322467986,0,0
"83","Aves sp.","2022-10","10","2022",16,18,0,598,0.0267558528428094,0.82943143812709,0.0301003344481605,0.933110367892977,0,0
"84","Aves sp.","2022-11","11","2022",5,5,0,529,0.00945179584120983,0.283553875236295,0.00945179584120983,0.283553875236295,0,0
"85","Aves sp.","2022-12","12","2022",2,2,0,293,0.0068259385665529,0.21160409556314,0.0068259385665529,0.21160409556314,0,0
"86","Bos taurus","2020-03","03","2020",5,5,1,758.5,0.00659195781147001,0.20435069215557,0.00659195781147001,0.20435069215557,0.001318391562294,0.040870138431114
"87","Bos taurus","2020-06","06","2020",3,4,0,700,0.00428571428571429,0.128571428571429,0.00571428571428571,0.171428571428571,0,0
"88","Bos taurus","2020-08","08","2020",16,30,2,808,0.0198019801980198,0.613861386138614,0.0371287128712871,1.1509900990099,0.00247524752475248,0.0767326732673267
"89","Bos taurus","2020-09","09","2020",1,3,0,767,0.00130378096479791,0.0391134289439374,0.00391134289439374,0.117340286831812,0,0
"90","Bos taurus","2020-11","11","2020",2,8,6,691,0.00289435600578871,0.0868306801736614,0.0115774240231548,0.347322720694645,0.00868306801736614,0.260492040520984
"91","Bos taurus","2020-12","12","2020",1,3,0,548,0.00182481751824818,0.0565693430656934,0.00547445255474453,0.16970802919708,0,0
"92","Bos taurus","2021-04","04","2021",1,1,0,769,0.00130039011703511,0.0390117035110533,0.00130039011703511,0.0390117035110533,0,0
"93","Bos taurus","2021-08","08","2021",73,154,3,909,0.0803080308030803,2.48954895489549,0.169416941694169,5.25192519251925,0.0033003300330033,0.102310231023102
"94","Bos taurus","2021-09","09","2021",110,269,22,857,0.128354725787631,3.85064177362894,0.313885647607935,9.41656942823804,0.0256709451575263,0.770128354725788
"95","Bos taurus","2021-10","10","2021",25,29,2,913,0.0273822562979189,0.848849945235487,0.031763417305586,0.984665936473165,0.00219058050383352,0.067907995618839
"96","Bos taurus","2021-11","11","2021",1,6,0,757,0.00132100396301189,0.0396301188903567,0.00792602377807133,0.23778071334214,0,0
"97","Bos taurus","2021-12","12","2021",3,13,0,525,0.00571428571428571,0.177142857142857,0.0247619047619048,0.767619047619048,0,0
"98","Bos taurus","2022-03","03","2022",1,3,0,713,0.00140252454417952,0.0434782608695652,0.00420757363253857,0.130434782608696,0,0
