"","id","GPS_Lat","GPS_Lon","sum_activ_days","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01"
"62","CRO551_10",44.49121,15.23932,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,31,30,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","CRO551_11",44.50247,15.22933,43,0,0,0,0,0,0,0,0,0,0,31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","CRO551_7",44.49347,15.25937,494,0,0,0,0,0,0,0,0,0,0,0,15,31,30,31,30,31,31,30,31,30,30,31,28,31,30,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","CRO551_8",44.54684,15.17667,861,0,0,0,0,0,0,0,0,0,0,31,29,31,30,31,30,31,31,30,31,30,13,0,5,31,30,31,30,31,31,30,31,30,0,0,0,0,19,31,30,31,31,29,31,30,1,0,0,0,0
"66","CRO551_9",44.49898,15.25816,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","CRO557_1",44.527166,15.90776,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,31,31,30,31,28,0,0,0,0,0
"68","CRO568_10",44.43898,15.34831,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,30,31,18,0,0,0,0,0,0,14,31,31,30,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","CRO568_11",44.43825,15.30297,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","CRO568_12",44.47829,15.26443,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","CRO568_13",44.47885,15.269174,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,30,31,31,30,31,30,18,0,0,0,0
"72","CRO568_8",44.43723,15.34666,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,31,31,30,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","CRO568_9",44.46696,15.30108,418.5,0,0,0,0,0,0,0,0,0,0,18,29,30.5,30,31,30,31,31,30,31,30,20,11,28,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","CRO569_1",44.40362,15.44519,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,30,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","CRO570_1",44.747843,15.137624,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","CRO570_4",44.39911,15.52982,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,31,31,30,31,30,2,0,0,0,20,31,30,31,31,30,31,3,0,0,0,0,0
"77","CRO584_14",44.37028,15.54454,223,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,30,31,31,30,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","CRO584_15",44.36528,15.57248,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,31,30,23,31,28,31,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","CRO585_3",44.32192,15.67341,67,0,0,0,0,0,0,0,0,0,0,0,0,25,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","CRO585_4",44.29948,15.65961,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,31,31,30,31,30,1,0,0,0,12,11,0,21,31,30,31,30,31,31,28,31,30,31,30,31,31,30,2,0,0,0,0,0,0
"81","CRO585_5",44.320917,15.652081,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,30,2,0,0,0,0,0,0
"82","CRO586_2",44.293491,15.77459,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,30,2,0,0,0,0,0,0
"83","CRO600_2",44.2497,15.791,64,0,0,0,0,0,0,0,0,0,0,30,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","CRO600_4",44.27613,15.83992,867,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,30,31,31,30,31,30,1,28,28,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,31,31,30,2,0,0,0,0,0,0
"85","CRO600_5",44.270974,15.780852,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,31,30,31,31,28,31,30,31,30,31,31,30,4,0,0,0,0,0,0
"86","CRO601_2",44.19778,15.86722,66,0,0,0,0,0,0,0,0,0,0,14,6,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","CRO601_3",44.253632,15.961839,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,28,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,31,31,30,3,0,0,0,0,0,0
"88","CRO602_1",44.23346,16.04572,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,30,31,30,31,31,28,31,30,31,30,31,31,30,3,0,0,0,0,0,0
"89","CRO602_2",44.22073,16.00882,384,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,16,0,0,0,0,0,0,0,0,0,0,4,28,6,31,30,31,30,31,31,28,31,30,1,0,0,0,0,0,0,0,0,0,0,0
"90","CRO602_3",44.233601,16.044966,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,28,31,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","CRO615_2",44.14639,16.06164,981,0,0,0,0,0,0,0,0,0,0,31,29,31,30,31,30,31,31,30,31,30,5,31,28,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,31,31,30,3,0,0,0,0,0,0
