"","Species","month","sighting_per_30_days","apsolut_sighting","animals_per_30_days","subadult_animals_per_30_days"
"285","Tetrao urogallus","12",0.0565693430656934,1,0.0565693430656934,0
"286","Ursus arctos","01",0.13100237854143,3,0.13100237854143,0
"287","Ursus arctos","02",0.287068163370355,7.5,0.381027894913979,0.0939597315436242
"288","Ursus arctos","03",0.610097587760885,15.3333333333333,0.639083095007262,0.0289855072463768
"289","Ursus arctos","04",1.364564451312,34.6666666666667,1.43349932863372,0.0140449438202247
"290","Ursus arctos","05",1.08978891930962,28,1.14077299838359,0.0507780507780508
"291","Ursus arctos","06",1.04016917554568,25.3333333333333,1.13608602613524,0.110202564875269
"292","Ursus arctos","07",2.82353640508084,70.3333333333333,3.34303445861378,0.505937248633558
"293","Ursus arctos","08",1.90279528049817,52.3333333333333,2.41670039142059,0.464463767874653
"294","Ursus arctos","09",2.1358314957438,56.6666666666667,2.5200666722216,0.344093227783531
"295","Ursus arctos","10",1.1856540536262,28.6666666666667,1.30381894377519,0.0820212663370461
"296","Ursus arctos","11",0.754230204770666,16,0.787605576482029,0.0333753717113632
"297","Ursus arctos","12",0.600252858673177,8,0.917659002017887,0.10580204778157
"298","Vehicle sp.","01",4.20335570823048,85.3333333333333,4.20335570823048,0
"299","Vehicle sp.","02",5.81702703675532,136,5.83372351856808,0
"300","Vehicle sp.","03",7.697970512324,192.666666666667,7.77043428043994,0
"301","Vehicle sp.","04",7.61334934245465,190.333333333333,7.83806844357825,0
"302","Vehicle sp.","05",9.95936955665649,256.333333333333,10.4108884913215,0
"303","Vehicle sp.","06",9.85430050985116,241,9.92156712353758,0
"304","Vehicle sp.","07",9.98788533426768,249,10.1816945411312,0
"305","Vehicle sp.","08",14.0154578370138,392,14.0629141154317,0
"306","Vehicle sp.","09",12.1634950358085,324,12.2382153496397,0
"307","Vehicle sp.","10",9.7428344912368,231.333333333333,9.79942448758583,0
"308","Vehicle sp.","11",4.522228539999,98.3333333333333,4.53543857962912,0
"309","Vehicle sp.","12",5.76178191715473,90,5.76178191715473,0
"310","Vulpes vulpes","01",2.13983947546139,42.6666666666667,2.13983947546139,0
"311","Vulpes vulpes","02",1.90001857816927,44.3333333333333,1.91671505998203,0.0125279642058166
"312","Vulpes vulpes","03",2.26401550024624,56,2.26401550024624,0
"313","Vulpes vulpes","04",2.36437875584184,60.3333333333333,2.36437875584184,0
